Sentiment,HelpFul,Title,Review
3,0,It's a cloth with nice prints,It's a cloth with nice prints
5,0,Nice for a teenager room but probably not the best choice for a more formal look.,Just as described and offers plenty of privacy. Super fun and vibrant colors with nice material.
2,0,It’s ok,It ok but doesn’t look as good as pictured.
5,0,Good,Was what it said it was and was shipped fast
4,0,Four Stars,very pretty
1,1,One Star,Looks better online
2,0,The material seems different from what I saw on the website!,"I ordered ""Old Sail Boat in The Ocean on White Background Pirate Treasure Retro Illustration"" 108*84. The one that I saw on the website has some creases on the upper sides. However, the curtain that I got is stiff and did not have any creases when I hung it on a curtain rod. It rather looks a kind of shower curtain. In fact, I bought this with $29.99 while other similar products' price around $65. I thought it was a discount, but now I think this is the reason that I got the product that somewhat looks cheaper and tacky."
5,5,So cool!,"My husband was in charge of decorating the TV room, and picked these curtains. The whole family loves them! They are so cool! This is our second set of designer curtians from this company, great quality and concepts."
5,0,"Absolutely beautiful, exactly what I was looking for","Absolutely beautiful, exactly what I was looking for. I will definitely recommend it. I’m very conservative and was very concerned about the looks of the drapes. I’m happily to say that my concerns were wrong, the design, or perhaps the colors match perfectly the environment that I was trying to cover. Good quality."
5,1,Extra Wide,Awesome of the East Side Highway of Manhattan. Covers the entire extra wide sliding door.
5,0,Retro Love!,Arrived pretty quickly. These are not room darkening but not sheer either. Pattern is great for my family room and my other retro items. Print is large. They are polyester but not much sheen.
5,1,Great quality!,I use them as photo op backdrops at our church events!
4,1,Four Stars,The fabric was very nice but the colors were not as vibrant as it is in the picture
5,0,Way durable,Super nice
5,0,GREAT MATERIAL,VERY HAPPY WITH THE QUALITY AND COLORS PERFECT SIZE
5,0,unbelievable,so much more stunning and substantial than it appears in the photo<br>really nice quality and surprisingly beautiful.  A great bargain.  So glad I found this.
5,0,Five Stars,very cute
4,0,Four Stars,My son loves them but rhey are way to long. Gitta take them to be taken up.
5,0,Love it.,Beautiful
4,0,Its a great product,I bought this for my girlfriend's mom for her Christmas present.  It got here in a day
5,0,Beautiful,in the remodeled guest bedroom called the Paris room
5,0,These curtains are awesome!,I installed these panels in my dining room and they are absolutely elegant.  The fabric and quality of product is great.
5,0,Nice!,Look great in living room
1,0,Not New!,Item came stained and was advertised as brand new
5,0,These curtains are so beautiful I put them in my dining room and they ...,These curtains are so beautiful I put them in my dining room and they go well with my setting I love them. Just beautiful and elegant.
5,2,Love them so much!,They are exactly what I wanted I couldn't be happier! Look SO good with my Coral Walls!!!
1,1,Print is skewed,This particular print looks nothing like the picture. It is stretched and skewed. I really wanted to like it but the material feels cheap and it's just ugly. I returned it.
5,0,They look even better in person,So cute and very high quality. They look even better in person! Used for a pineapple/Hawaiian baby nursery!
5,0,Just perfect,Beautiful
5,0,Five Stars,it looks great a good update fo kids play room
5,0,"Gorgeous, beautiful material, you won't be disappointed!","Oh so beautiful, even nicer in person."
5,0,Five Stars,Thank You
5,1,Worked perfectly for another window,Thanks !
5,5,Pretty pink to mauve ombré,"Fabric is like a printed polyester, and it lets a little light through which I prefer. It is pretty great value for what you get!"
5,1,More like shower curtains,I wish it was a little darker/ bolder in color otherwise i love it. Feels more like a shower curtain then window curtains. (The material)
5,1,"The quality and feel is A+. The visual is impressive, colors are vibrant and much better than pictured.","<br><br>With so much selection available in this category, I took a chance on this image. It's better looking than pictured and the middle lines up even when closed. The Sun light comes through in the AM... it amplifies the colors and really makes a great impression. It's really nice! More than happy.<br>Thank you"
5,0,,"Looks great, high quality, keeps light out. Definitely recommend if you're a true American!"
5,0,vibrant colors,Very pretty - heavy weight curtain.
5,0,Great,They are durable and fit well as a decoration for our dojo.
5,0,A lot of compliments!,It works as the one of the final touches in my oriental room!
5,0,They were the perfect curtains for my log cabin,This is the coolest set of curtains. Everyone that has seen these loves them. They were the perfect curtains for my log cabin.
5,0,Excellent product!,Very good quality and the colors are vibrant! Very pleased with this purchase!
5,1,Five Stars,"SCREEN PRINT ABSOLUTELY GORGEOUS, THINK THEY MAY BE A LITTLE TO LONG, I HAVE NOT HUNG THEM UP YET"
5,3,Unique and Magical Curtains,"I love these curtains! I used them in my spare bedroom, which is a fun &amp; whimsical decor, so these were perfect. The quality of the picture is very nice and the material is soft and satiny, but not sheer. I wish I had more places in my house to hang more curtains like this in different designs. They are all so cool and I get a lot of compliments when people visit."
5,2,Thank you to the artist who provided these.,"No one has what we have! It's different, the artist is magnificent, light shines thru and the drape's scenery comes alive. Changes with light at night. They are so thick and well made, I'm hoping they will last for a long time, I'm glad I invested...nothing like these in stores!!"
5,1,Love them ❤️,"These are made well and slightly heavy.  They let light through but I think that makes them more attractive.  I would purchase from this seller again.  They have a lot of patterns too, it was hard to choose one."
5,2,I love it.,"I love it...even with the wrinkles, which I will steam out later. It makes my puppies room look like an island paradise ."
1,7,Pixelated and shiny,"The printed image on the curtains is poor quality and appears as though the image was “stretched” too large. The end result is a grainy, pixelated-looking flag. The material is a nice weight, but has a shiny, oily sheen to it. It’s reminiscent of a shower liner."
1,4,Not as pictured!,"The picture is nothing like what I ordered, along with poor graphics. I ordered a Lakeview with trees, and got a marsh with a commercial building off to the side. Nothing like what I ordered!"
3,1,Color is a lot lighter than pictured,Looks nice but material is way lighter than the one in the picture.
2,1,"Beautiful curtain, quickly unraveled at the top seam","Love the colors and quality, however the seam at the top was loose when I received it and quickly became unraveled. The seam in only held together by a couple strands. Again, nice curtain, but now one side hangs way down from the rod. Expected a bit better quality for the price."
4,0,Bright and light,I really like these curtains except that they do not reach the floor evenly.
5,0,I’m so pleased.,So beautiful when the sun shines through at dusk and dawn.
5,0,Five Stars,Curtains we as advertised good quality
5,1,Not  sure what a headline is.,"the material is nice and soft it has a backing on it, the colors are beautiful, better than in the picture. Thank you very much for a quality product at a fair price."
2,0,Pretty picture,"The picture was exactly what I expected, but I was disappointed in the material. It was very cheap looking polyester and while I wasn't expecting them to keep out too much light, it was no better than having nothing in my windows at all."
5,0,Five Stars,Great
5,0,Five Stars,we loved them. looks like you can step right into the water. I will be buying more
5,0,Great,Great
5,1,Five Stars,These are absolutely perfect in our craft room. My daughters love them!
5,0,They are beautiful,They look beautiful on my windows.
5,0,Five Stars,"Colors are great, love the fabric!"
5,0,Five Stars,This is so much fun.
5,0,Best Curtains ever!,These curtains are exactly what I'm looking for!  Fast shipping item as promised will be back again!!
5,2,Gorgeous and functional!,"On the pricey side, but oh, so worth it. Sunsets on the beach are a favorite of mine, and I can now enjoy via these curtains at night. I often have my door open during the day, and they have held up well with the incoming breeze and make a satisfying flap sound. I am so happy with these that soon I am going to replace a perfectly good pair of plain white curtains upstairs with a daytime picture of the beach to please me when I wake up."
5,1,Aviation curtains,We bought 3 sets. 2 for our very wide window/doors and one for our normal 6’ wide window/door! They go beautifully with our Aviation themed home. We didn’t use the pocket for rods. We used clipped on rings so we could hang them on really nice updated rods!!
5,0,Beautiful,These are the second pair of curtains I have ordered from this company. I absolutely love the different designs they offer. The light filters through perfectly and they are even more beautiful in person. I have received so many compliments on both pairs that many of my friends have gotten some from this company
5,0,Love it!,LOVE!! Is a thick odd fabric but not in a bad way.<br>Looks like a nice piece of art work on the wall.
5,0,Beautiful and it does a good job of filtering out ...,"Beautiful and it does a good job of filtering out the sunlight!  It looks longer in the picture, but it was long enough to do the job!"
5,0,CUTE,MY DAUGHTER BEDROOM  DESIGN CUTENESS NOT DURABILITY.  GOOD VALUE
5,0,Great decoration!,I have these hanging in my nail room at the salon for ambiance. They were hung using heavy duty Velcro and look great!
2,0,Two Stars,Dpes not look anything like the picture.
5,0,Five Stars,Looks good
4,0,while they’re very pretty and perfect size for my large sliding glass doors,"Just reiterating that these curtains are not very thick, while they’re very pretty and perfect size for my large sliding glass doors!"
5,1,Must buy,The pictures on here dont do these curtains justice. They were better then i could have dreamed of for my daughters room. The images on the curtains are big and bold. Best purchase ever. So worth the price. They are big and long. I bought 1 set which fits 2 windows perfectly. They are not cheaply made either. Really good quality. Seriously i am taking the time to write this review because they are that awesome. My daughter was amazed and loves them. They give her room that extra oooo.
5,2,Love it,Love this curtain! We have a nautical theme bedroom and this fits perfectly! Good quality material and the picture is quite clear as well. Way better than I expected actually.
5,1,The BEST!  High quality.,The BEST!  High quality. I could not have asked for a better curtain.  Be careful it stains easily even water stains.
4,0,Great coffee theme. Great colors,Love the coffee theme.!! Love the colors.<br> The curtains are quite thin. I bought a pair of solid brown dark out curtains to go behind them.
5,0,Gorgeous Curtain/Tapestry,"We got this to separate a large closet from our main room and were very happy with the purchase. Being indecisive, we're apparently going for the bohemian/old english/rustic/fancy look and this fits all of them. Very high quality feeling and looking panels!"
5,1,Five Stars,Makes me feel like I'm on vacation!  Nice weight to it as well.
5,0,"Beautiful curtains, well made",They are beautiful and fit perfectly in my teenager’s bedroom. 
5,1,bold and bright,"bright, bold printing on heavy weight material - satisfied!"
5,0,NICE!,Great curtain I love the quality it is just as described!!!
5,0,Excellent quality,"I love the curtains! They look beautiful in my kitchen, material quality is great! I would order from this company again!"
1,0,One Star,Print is faded - not clear like shown in picture of product.
2,0,Two Stars,Not as perfect as in the picture curtain looks faded
5,0,Good quality well made,Lined and beautiful
5,3,I love them,Its perfect!!!! I highly recommend these curtains. Great quality❤
5,0,I use it for bedroom between living room in middle look nice thanks,Thanks for this item 
5,0,and we've enjoyed these curtains every day,"It has been a LOOOOOONG winter in Ohio, and we've enjoyed these curtains every day!"
3,10,Not a vivid image,"Actually I nice curtain weight, and they hang nicely. Unfortunately, the image is very pale.  It's not at all vivid like the picture."
4,2,Light Bleeds Through,"As with many of the printed curtains, there was too much light bleeding through in the middle of the day.  I sewed a layer of black linen onto the back of the curtain to make it block more light.  The construction of the curtain was good, and the picture was vibrant and realistic."
5,3,Nice,A little out of focus but still really nice. I'm keeping it! I just have to reset my rod a little higher and farther apart so that the curtains sit well against the window
3,2,Looks nice,This is the sort of thing you might buy and then wonder why you bought it.
5,0,Island getaway,"Very pretty curtain, we used it to cover a large window in our bedroom that we never open. Durning the day the light shines through a little brightening it up, and making it look like we are on a island somewhere. It has made our bedroom very beautiful!"
5,0,Five Stars,Love it the look is so real it brought the room looking so nice in my bedroom
2,2,Not good colors,The pictures were not clear
5,1,Looks great! Doesn’t look cheap or too toy like,Good quality. Fast shipping. Looks great and my Lego obsessed 12 year old loves them.
5,0,Looks real!,"Great image and colors! Thick, double lined, white on reverse side. Nice length, floor to bottom of tub. Affordable beautiful quality."
5,0,One of a kind colorful curtain,This curtain panel is beautiful in my bedroom. It matches my bed covers and decorative items. It fitted perfectly in width and length. It is one of a kind which I enjoyed the minute it was hung.
4,0,it is perfect!,"I would have gave it 5 stars if it came in a shorter length.<br>Otherwise, it is perfect!"
5,0,we love it!,"Exactly as expected, we love it!"
5,24,Nice large-scale art to hang as curtains!,"Lovely colors. During the day there's enough light that comes through to keep the room bright without having direct sun. At night, we also use a dark, lightweight shower curtain for complete room-darkening and restful sleep. Photo shows how it looks with and without the shower curtain as a liner."
2,4,Loved the idea,"Loved the idea. Color (black) saturation is not good. Looks more like a dark gray or very faded black. For the price, it's going back. FYI this is definitely a kid's, dorm, or younger room. I was looking for curtains in the master bath - looks juvenile."
4,1,"Good product, flowers are pink, not red","This is a cool curtain set but the flowers are dark pink with a distinctly feminine vibe. Not fitting for the masculine room we were decorating. I would be confident in purchasing the curtain for quality though, it seemed very nice and was packaged well."
5,2,High quality,The quality was amazing. I didn’t keep due to ordering wrong size and girlfriend not liking but I’d highly recommend vendor for high quAlity.
5,0,Beautiful,"I'm in love! Exactly as advertised, perfect length &amp; arrived timely!"
1,0,Returned &amp; still  waiting for refund,They were beautiful but to sheer for what I needed.
5,4,My son loves it,It was very good quality cloth also the image is crispy and clean.
5,0,Five Stars,Love it
5,0,Good Quality Product,I like the fact that I was able to find a unique and different style Curtain with an amazing print..  Thanks Amazon
5,0,Great quality!,Great quality! Looks and feels amazing!!!
5,0,CORTINAS HERMOSAS,"BUENA CALIDAD, EXCELENTE MATERIAL, FACILES DE LAVAR, ENTREGA OPORTUNA"
5,0,Five Stars,Love these curtains. Needed that added touch to<br>dining area and these did the job!!
5,0,Five Stars,The comforter was exactly what I wanted!
5,0,Five Stars,"Love this one , looks great and beautiful in my home"
5,0,Five Stars,Unwuiness
5,0,Very pretty and different.,I was looking for something that would add to my room and bring the outdoors inside. I love the color and the fact that it lets in enough light without having them open.  Also the lining makes it so people can't see inside like some curtains do. Every happy with my purchase.
5,3,Five Stars,"I love how the curtains look from the outside, too!"
5,0,I love Love Love these curtains and everyone that enters my ...,"I love Love Love these curtains and everyone that enters my house also loves them. I'm sure that a few of my friends will be ordering a pair soon.<br>little pricey, but worth it."
2,0,Not like like the picture,My daughter really loves it doesn’t look like the picture
5,0,Five Stars,I LIKE DIFFERENT DRAPES THIS SURE IS<br><br>LOVE IT
1,0,Not what I expected. Way to shirt for a ...,Not what I expected. Way to shirt for a sliding glass door and the color is a bit off.
3,7,Stiff material not how curtains should fall or sit,Wish the material was better feels like cheap hard curtains. They are ok great for space theme room but material is stiff.
5,0,Thick satin mural extra wide curtains,"These beautiful mural curtains fit beautiful across my French doors in my kitchen addition, which is for family eating and gathering for fun. They are very thick, non see through and have a satin finish. I alternate between these and another set I bought at the same time."
5,4,Five Stars,Beautiful in my sons space room
5,0,Kewl Curtains,"These worked out great as room dividers, just as described and vibrant dark colors"
3,0,Not blackout curtains.,"Nice look to them, but very thin and light comes through.  My daughter loves them though.  I feel the quality does not match the price."
5,0,Five Stars,"These are beautiful, add charter to living room.  They are thick, not flimsy blocks enough light."
5,0,I love them,Very very pretty
5,0,I am very impressed with the quality of these curtains ...,I am very impressed with the quality of these curtains. I'm using them in my wedding and will use them after.
5,1,Five Stars,"Goes perfect, love it"
5,0,Great product,Great product
5,0,Keeps the room dark,I love this product!!! Seems like my bedroom is cooler.
1,1,Different than pictured,Was a different pattern than the photo
5,0,Thick curtains,Nice
5,0,Five Stars,Very nice!!!!
4,2,These are really beautiful and well made,These are really beautiful and well made. They definitely darken the room and the little light that comes through bathes the room in blue. Which didn't work for me so I have to return them.
5,0,My son loves these curtains.,"My son loves these curtains. I bought these to block out some of the sunlight that is making his room so hot. I know that these are not blackout curtains, but anything will help to make his room feel cooler. And contrary to what the Q&amp;A respnse says above, these DO fit a 3"" wide flat curtain header."
2,1,Nice enough,Quality control a small issue. Length varies an inch.
5,0,Feels like its real,"i have the same view during the day, when curtains are open,<br> now i can enjoy after dark, its just great for real - old man mike bengyak"
4,0,But still nice.,"They are not quite as richly colored, or as blue at the top as pictured, They are more pink and purple. But still nice."
5,0,Five Stars,Lovey decor I put lights in the back and made the flowers on it come alive.
4,0,Color not as vibrant as the picture still nice.,Daughter loves it.  Color not as vibrant as the picture still nice.
5,0,Good,Granddaughter loves everything galaxy...
5,0,Colorful,Very beautiful. Is at least 6 1/2 feet long.
5,0,I recommend,Greatest buy
5,0,Five Stars,Very happy with this purchase
5,0,Five Stars,Product as described very good service.
5,9,Great looking Christmas curtains,"We got these yesterday and put them up immediately. We LOVE them. What a great addition to our holiday decor.  You will not be disappointed.  They're beautiful, durable and light up the room."
5,4,Good thermal drapes. Clear images. Smooth fabric. Easy use. Reasonable price. I would repurchase.,"Thermal for sure. I use these in a doorway of a room within a room made of unframed, taped together walls and ceiling of insulating wallboard. It is inside an unventilated garage in hot sunny CA! It is unbearable to be in that garage. BUT, we put a little room a/c inside and the room is frigid in minutes and stays cool even right up by the curtains. PLUS they are sharp, pretty and full of ambiance. the cat, serendipitously looks JUST like the beloved cat of the man for whom the room was built. It houses a sofa and all of his books! The gothic window and books were a perfect image. The prices was reasonable and I am just delighted with the product. Well made, strong, pretty, functional. I will buy other images of these sometime for other rooms."
4,3,Pretty curtains,"The curtains look great in my daughter's room.  Although they aren't blackout curtains, they are thick enough to keep it plenty dark. The only reason I gave it 4 stars instead of 5 was because they don't hang straight down, they are so thick they flare out a little. Although I ironed and steamed them, I still had to tack them on the bottom to straighten them out.  That said, I would definitely recommend these. My daughter loves them in her beach themed room!"
5,3,Terrific for any Trex fan!!!,Wow these curtains exceeded my expectations.  Really amazing  graphic and excellent quality... they are a great deal for the price. My son loves dinosaurs and he is in love with these curtains.. they seemed huge but they were perfect!
2,3,I need to excnge one.,I love these but one is a lighter color than the other so they do not match.  How can I talk to someone about it?
5,0,Great for the holidays!,Great for the holidays!
5,0,It's so realistic!,I love it! I will update with a picture soon!  the dimensions were 99% accurate. I bought the 108 x 84  to cover a large wall and it is amazing to see. Definitely a fantastic focal point. Thank you!
5,0,Awesome!,Great product. Great colors! Perfect size. Excellent shipping. Worth the price.
4,0,Nice,Very nice scene adds a nice touch to our living room.
3,0,Three Stars,Picture doesn't show the obvious stitches in actual product.
4,0,Four Stars,Beautiful but needs pleated at top. Long.
2,0,Colors are not as rich as pictured,They are ok. Thick enough and exactly as pictured other than the greens are not as vibrant or dark as shown
5,0,Five Stars,Nice
5,0,Beautiful,Beautiful
5,0,Five Stars,love them
5,1,That is a beautiful and suggested curten design made on a first quality ...,That is a beautiful and suggested curten design  made on a first quality silky fabric which I enjoy in my dining room.<br><br>Norma from Miami FL
5,1,Loveeee these curtains!,"This is the first time I have ignored reviewers and bought an item despite the 1 star rating it had. I am soooo glad I did! It wasn't the beautiful curtains fault that humans don't measure before buying and/or pay attention to the size.<br><br>I should note that they do not completely block out light and would not classify them as ""black out"" curtains but they are certainly made well enough to not have any privacy concerns in my bedroom. And the light that does directly shine on them is diffused enough to make the scenery come all the more to life, while at the same time blocking the light enough to where I can still sleep if I desire. Perfect and beautiful.<br><br>Measure twice, order once... and order the size your window or door needs as size DOES matter."
5,0,Such a relaxing view,"This comes with two panels so that they gather nice. The backside of the drapes is plain white so it conforms to my HOA rules &amp; it's thick enough to give plenty of privacy but thin enough to let ambient light through. My window is too small for both panels which is fine because it lends to creating the look I wanted. I have it hung flush to the wall behind a set of blackout drapes. Now when I open the blackout drapes, it looks like I have a nice view of the ocean. I've always wanted a room with a view."
5,0,Beautiful Beautiful Beautiful Beautiful Beautiful,"When I lie on my bed and look towards the window, the sensation of relaxation that this landscape transmits to me is incredible. At dawn the landscape becomes illuminated as if it were really dawning on the beach, and at sunset the same thing happens, you feel that you are really on the beach watching the sunset. The quality is very good and the colors perfect. It is one of the best purchases of my life. Originally, I bought it for my daughter's room and ended up being mine, just mine."
5,0,These are stunning.,I would definitely rave about these curtains! They are sturdy but allow some filtered light through which is what I wanted. They are well constructed with nice seams and beautiful graphics. They are unique and add a touch of the outdoors to my rustic cabin. I absolutely love them! They are exactly as pictured.
5,0,Peaceful ambient in the room,"Love them!!!! Curtains look great! Gives my room that peaceful/beachy feeling I was looking for! Only thing is I have to iron them since they are wrinkly from the packaging, but clearly I skipped that part! Wrinkles give character lol"
5,0,CHRISTMAS BEAUTY,"These curtains frame my Christmas tree and add a whole new look. They are beautifully made, colors are vivid, silky, the right curtains to make the holidays merrier"
5,0,Beautiful,Awesome love it
5,0,Love it,Gorgeous. Amazing quality material delivered promptly. Makes my office window wonderful.
5,0,Sturdy,Loved the design just wish they came in shorter lengths.
5,0,Perfect fit,Looks great just what I hoped for
5,0,Five Stars,Love it! Looks exactly like pictured!
5,0,Five Stars,Very Nice for my house
5,0,... long for my French doors but is a really pretty,Was actually too long for my French doors but is a really pretty curtain
5,2,no backing,"absolutely beautiful. they are fantastic. if i could do every wall in my bedroom with a full wrap around scene i would do it in a heart beat. just love them. let me know if such a thing exists. wrap around scene from the ones i already got. i will buy them. thanx, paul."
5,1,Great quality,Feels  like I'm at my hunting cabin.
5,1,Beautiful,Love the curtains perfect match!!
4,0,Beautiful Scenic drapes,The drapes are beautiful and I love them!
5,0,Beyond purrrrr-fect!,"We have a cat room in our house (that use to be an office) so I had to cover some really ugly doors.  I couldn't think of a better way until I came across these curtains, it made the room SO CUTE."
5,3,Two sets to cover the doors.,Love them but had to get two sets so it would look good.  I have a sliding glass doors that I wanted covered.  One set covered it but had no gathering like they should be.  So I got a second set.  It looks so much better.
3,5,Cheap fabric but pretty pattern,"They’re prettier in the picture than online. The fabric was heavy, thick, and shiny, rather than thin and airy like it looks in the picture. Overall, I didn’t like the look of the fabric even though the patter was beautiful."
5,0,These curtains are big.,Just what I was looking for!!  They are perfect.
3,0,Not exactly as pictured.,They arrived quickly and are nice but do not look exactly like the picture.  The picture is vibrant and  very detailed. My curtains I can't find the setting sun.  Colors and picture doesn't stand out in detail like the one in the picture description.
5,0,Five Stars,Great looking curtins.
5,0,Very nice curtains,These curtains are beautiful.  They are silky to the touch.
5,0,very nice heavy,"Very, very nice heavy drape"
5,0,Five Stars,My class used this as a back drop for a circus presentation.
4,0,Pricey but I love them,"First the negative...I've had friends ask me if I turned a shower curtain into a window curtain.  The material is shower curtain material. The material also has the sewing lines still pre stamped right on the back of the material, which you can see from outside.  Very easily and cheaply made and way over priced.  Positive....They hang nicely and the print is crisp and clear. The design of the print comes together perfectly in the middle of the two panels.The wrinkles fell out over time from being folded. I love the uniqueness of having a landscape curtain rather than the simple traditional lace or cotton print design or solid color.  Sometimes we have to pay a bit more for whimsical unique ideas.  I have bought three pairs of different designs so far.  Nothing is perfect!"
5,0,It lined up so symmetrically,"After I hung up both pieces, it lined up perfectly, just like the picture.  I have gotten things that wouldn't line up because of shoddy manufacturing but this was exact."
3,0,Three Stars,Feels like a shower curtain.  The image is okay.
5,0,Great Quality for the Price,"Beautiful and good quality. Wash &amp; dry well, too. Definitely great for adding color/theme to a room."
3,3,Meh,"A lot shinier than I expected, which makes them look on the cheap side..or like I tried to use a shower curtain instead of drapes. Didn't like the way they looked at all. Mostly my bad decorating decision. Guess I'll try to sell them on my own. The are pretty funky if you have the right place to put them. They are a lot lighter once they're on the rod with light behind them. If you want the deep plum as shown, I suggest you get a liner."
5,1,A lot bigger than I expected but made an amazing room divider,"A lot bigger than I expected but made an amazing room divider, the fabric is amazing! I love it"
2,4,0 for 2: Right panel defect,"I have attempted to purchase this twice. Both times the right panel has the same defect. It looks like the printer got jammed and kept printing the same thing all the way down to the bottom. How someone even proceeded to sew the pocket and edges is beyond me. Unless it's all robots now. I have no idea, but I'm hoping I can get a set that is complete.  I'm giving 2 stars because 1 panel is ok.  I'll update if I can get a complete set."
1,1,Not happy ,These were not what I expected. They looked like they might be heavy duty but they ended up looking like something out of a cheap 70’s motel.
2,0,Two Stars,"Light colors, not as defined as the pics"
5,0,Five Stars,"beautiful, nice material"
4,0,Not bright enough,"The colors are not as bright as in pocture, but using it anyways"
5,0,Realistic sharks,My Grandson loved the curtains I gave him for his birthday. I got them in the mail faster than I though it would take to get them.
4,0,Four Stars,We are happy with the curtains. I love the design a quote. Matches my sons room perfectly.
5,0,Five Stars,Love the curtains! Quick delivery. Quality product.
5,0,I think there beautiful and appear to be great quality.,"Beautiful and seem to be excellent quality, I find the be moderately thicker than most curtains and seem more durable.<br><br>However, I have never had to wash these, I do not know how they hold up if needed washing. I'm sure the best route would be to dry clean but again, I do not know how the curtains would be after the washing and steaming. All thought a when buying. However for quality on first unboxing and hanging. I believe them to be beautiful and a heavier duty curtain than most."
5,0,Better quality than I expected!,These just arrived today. Our son loved these curtains for his ocean theme bedroom. Included a picture of them on a cloudy day with the blinds closed behind them. Excited to see what they look like when the sun is shining!
5,0,Great purchase!,Im very pleased with the curtains. They're what I was looking for my window.
5,0,Five Stars,so easy to put up.  It won't fall down..  easy to clean looks great!
5,0,Five Stars,Goes good in my front room
5,0,Five Stars,These curtains really brightens up a drab room
3,13,"Blue, not grey.","Material is ok, not consistent, but the nail in the coffin for these drapes were the color... definitely not grey, more blue than grey.. fyi, my walls are grey so they stuck out like a sore thumb :/"
5,3,Perfect way to redecorate any room on a dime,"Vivid and natural colors,  superb quality fabric and stitching.  I used them as a room divider in a studio to separate the kitchen area, which  enlarged and brightened the space. Perfect way to redecorate any room on a dime!"
4,1,Skyline vibe,I do like the curtains and the picture is nice. Just feels a little bulky but overall happy with the purchase.
1,2,Do not waste your money.,The image is cheap and not as sharp as the picture. Really not worth the money. Returned it the moment I opened the package.
5,0,Looks Amazing,Dragon is fierce and the colors are great. They are much lighter than the pictures but it still looks great. Will definitely buy another with a different design.
5,1,Five Stars,Amazing backdrop to our GoT Iron Throne!
5,1,WTG Amazon,I love my new curtains. Simply beautiful. The arrived a day earlier than expected. Way to go Amazon!
5,1,I Love it! Looks Great Good quality,I Love it!  Looks Great Good quality!
5,0,Not thin or cheap material,Vivid. Well made and nice material
5,1,Five Stars,Beautiful!! I am ordering another set today :)
5,0,... finishing touch on my Moroccan lanai and they are perfect. The fabric drapes beautifully,These are the finishing touch on my Moroccan lanai and they are perfect.  The fabric drapes beautifully.  The image is exactly as pictured.  I love them
5,1,"Beautiful curtains, cannot see through",Super-fast shipping! Great Seller.  :-)  These curtains are totally non-see-through!
3,0,Three Stars,Not worth the money
5,0,Beautiful,I am in love with my new curtains!! Looks so much better in person.
2,0,Stretched out design,"I honestly wish I would have just purchased two of the single panel ones. I got this one and a single panel for what I needed it for, the single panel is great but this is the same image of the single panel but stretched out over two. Based on the design, it would have looked totally normal if I had two of the single panels hanging next to eachother. But this set of two panels with one stretched image does NOT look normal. For the price I am very disappointed. I'd been eyeing these for months and had finally talked myself into buying them. Also they are very white on the other side rather than showing through brown."
5,2,So beautiful! Used them to hide our trash bins that ...,So beautiful! Used them to hide our trash bins that are in a nook outside in a common area... Looks amazing.
5,0,Beautiful made.  Very strong,These are amazing. So well made. Unfortunately had to return. These are for a patio door in a huge room 
5,0,"Ordered, delivered, happy!","Ordered, delivered, happy!"
5,0,Beautiful,Nothing to complain about here these are so pretty next to light grey walls and twinkle lights behind them
5,0,Exactly what I was looking for...,Bought as a backdrop for my daughter's medieval themed wedding. Great print and the quality was a bonus.
5,0,Five Stars,Love them! Guest feel they are at the beach
5,0,Fits the room great!,Fits the room great!
1,2,Will not except returns,Do not buy this.. they will not except returns.
5,1,Excellent quality print with vivid colors,"Excellent  quality  print with vivid colors, high density  wrinkle resistant fabric. Curtains enlarge and brighten small space. Highly recommend!"
5,0,Would buy again,Loved the curtains takes up the whole back wall in my workout room
1,0,Check it for missing colors,This is the curtains that have a missing color spit which is very vusake
5,0,Five Stars,SO pretty! thank you!
5,0,Looks just like the picture,Ppperrrrrr fect. Love love love fhank you for designing this. It looks just like the picture. Great quality and everything.
5,0,It's very large,I hung this in a doorway and loved it. I covered the entire oversized doorway with one curtain
5,0,They look awesome!,Looks great and exactly what it is represented to be.
5,0,Like choir robs,Material too thick!!! Like choir robs.
5,0,Received at Least $20 in Happiness Immediately!,"Okay so, I'm a broke MFer. I buy clothes and household goods by the pound at Dig n Save, buying $65 curtains is NOT how I roll. However, these curtains remind me of my favorite place on Earth so I took a plunge, and received at least $20 worth of happiness just by hanging them! I received at least $3 of happiness waking up to them! I think they are going to earn their keep quickly. Bonus, the setting looks real with the sun coming through the windows behind them."
4,1,vivid realistic scene,"fun curtains to make a view where there is none, nice weight material with vivid colors"
5,1,Love these curtains,"Love these curtains, the sun shines through my patio doors in the morning, and when the curtains are closed it lights up the waterfall for a more picturesque room."
5,1,Different and beautiful,Perfect for my patio sliding door.  Also looks very nice from the outside at night the design is visible.
3,0,sorry I purchased,way too long  color and quality not good in person
5,0,Five Stars,love them
4,4,Exactly what I was looking for.,"Very happy with this purchase. I had waited about 4 months before I gathered the courage and money to purchase them. I love that they atr NOT sheer, the large size and that they are pastel colors.<br><br>I took 1 star off because I wish it was a little more detailed. But over all I'm very happy.<br><br>I didn't put these on a rod. I just tacked them up over my closet. The closet doors were too heavy and hurting my arms so I found these curtains instead.<br><br>I did iron them before I put them up."
3,3,More detail and a bit darker to see details,Much to light to see the picture very plane. Bought To others pares with different seans and loved them. Will still be ordering more in the future.
